new_num	new_name	facet	stage	site_count	sample_old_cerrs
30321	missing_typeinfo_subexpression	missing	3	4	typeinfo_undefined
30400	mismatching_array_dimension	mismatching	3	1	invalid_type
30401	mismatching_array_element_type	mismatching	3	1	invalid_type
30402	mismatching_block_argument_type	mismatching	3	1	invalid_block
30403	mismatching_clone_type	mismatching	3	1	operator_not_found
30404	mismatching_function_argument	mismatching	3	1	invalid_type
30405	mismatching_function_argument_count	mismatching	3	1	invalid_cast
30406	mismatching_numeric_type	mismatching	3	5	operator_not_found
30407	mismatching_result_type	mismatching	3	1	cant_infer_mismatching_restrictions
30408	mismatching_structure_dimension	mismatching	3	1	invalid_type
30409	mismatching_tuple_argument_count	mismatching	3	1	invalid_type
30410	mismatching_tuple_field_names	mismatching	3	1	invalid_type
30411	mismatching_type	mismatching	3	3	<param>,operator_not_found
30412	mismatching_variant_dimension	mismatching	3	1	invalid_type
30500	exceeds_argument	exceeds	3	2	invalid_variable_type
30502	exceeds_array_index	exceeds	3	1	index_out_of_range
30503	exceeds_call_depth	exceeds	3	3	too_many_infer_passes
30504	exceeds_expression_recursion	exceeds	3	2	too_many_infer_passes
30505	exceeds_function_argument	exceeds	3	4	too_many_arguments
30507	exceeds_infer_passes	exceeds	3	2	too_many_infer_passes
30508	exceeds_local	exceeds	3	1	invalid_variable_type
30509	exceeds_new_argument	exceeds	3	1	too_many_arguments
30510	exceeds_structure	exceeds	3	1	invalid_type
30511	exceeds_tuple_index	exceeds	3	1	invalid_type
30512	exceeds_type	exceeds	3	2	invalid_new_type
30513	exceeds_type_alias	exceeds	3	1	invalid_type
30514	exceeds_typeinfo_sizeof	exceeds	3	1	invalid_type
30600	ambiguous_annotation	ambiguous	3	2	annotation_not_found,handle_not_found
30601	ambiguous_bitfield	ambiguous	3	1	cant_get_field
30602	ambiguous_call_macro	ambiguous	3	1	function_not_found
30603	ambiguous_enumeration	ambiguous	3	2	enumeration_not_found,type_not_found
30604	ambiguous_field	ambiguous	3	1	cant_get_field
30605	ambiguous_field_lookup	ambiguous	3	1	cant_get_field
30606	ambiguous_finalizer	ambiguous	3	1	function_already_declared
30607	ambiguous_function	ambiguous	3	7	<param>,function_not_found
30608	ambiguous_macro	ambiguous	3	3	invalid_type,unsupported_read_macro
30609	ambiguous_structure	ambiguous	3	2	structure_not_found
30610	ambiguous_super_call	ambiguous	3	1	function_not_found
30611	ambiguous_super_constructor	ambiguous	3	1	function_not_found
30612	ambiguous_type	ambiguous	3	1	type_not_found
30613	ambiguous_type_alias	ambiguous	3	1	type_alias_not_found
30614	ambiguous_typeinfo_macro	ambiguous	3	1	typeinfo_undefined
30615	ambiguous_variable	ambiguous	3	2	variable_not_found
